strain	date	location	clade	host
hOROV/Trinidad_and_Tobago/JCVI-9760/1955|M|EPI_ISL_19492168|1955	1955	Trinidad and Tobago	I	Human
hOROV/un/Trinidad_And_Tobago/UMG-TRVL9760/1955|M|EPI_ISL_19492306|1955	1955	Trinidad and Tobago	I	Human
OROV/mosquito/Brazil/PA-USP-19886/1960|M|EPI_ISL_19492368|1960	1960-05-17	Para	I	Ochlerotatus serratus
OROV/sloth/Brazil/PA-USP-BeAn19991_a/1960|M|EPI_ISL_19492144|1960	1960	Para	I	Sloth
OROV/sloth/Brazil/PA-USP-BeAn19991_b/1960|M|EPI_ISL_19492145|1960	1960	Para	I	Sloth
OROV/sloth/Brazil/PA-UG-BeAn19991/1960|M|EPI_ISL_19492363|1960	1960	Para	I	Sloth
OROV/pale-throated_sloth/Brazil/PA-USP-206119/1971|M|EPI_ISL_19492369|1971	1971-08-02	Para	I	Sloth
OROV/sloth/Brazil/PA-USP-208402/1971|M|EPI_ISL_19492370|1971	1971-09-01	Para	I	Sloth
OROV/sloth/Brazil/PA-USP-208819/1971|M|EPI_ISL_19492371|1971	1971-09-13	Para	I	Sloth
hOROV/Brazil/PA-USP-708717/2006|M|EPI_ISL_19492373|2006	2006	Para	I	Unknown
hOROV/Brazil/un-CSU-BeH505764/1991|M|EPI_ISL_19492030|1991	1991	Brazil	II	Human
hOROV/Colombia/un-NAMRU6-FCT00025/2017|M|EPI_ISL_19497336|2017	2017	Colombia	II	Human
hOROV/Colombia/NSA-IDR-0200178W/2020|M|EPI_ISL_19497309|2020	2020	Colombia	II	Human
hOROV/Colombia/AMA-IDR-882/2021|M|EPI_ISL_19497310|2021	2021	Colombia	II	Human
hOROV/Colombia/AMA-IDR-352/2021|M|EPI_ISL_19497311|2021	2021	Colombia	II	Human
hOROV/Ecuador/PHE-057/2016|M|EPI_ISL_19492335|2016-04	2016-04-01	Ecuador	II	Human
hOROV/Ecuador/PHE-087/2016|M|EPI_ISL_19492336|2016-04-01	2016-04-01	Ecuador	II	Human
hOROV/Ecuador/PHE-155/2016|M|EPI_ISL_19492337|2016-04	2016-04-01	Ecuador	II	Human
hOROV/Ecuador/PHE-171/2016|M|EPI_ISL_19492338|2016-04	2016-04-01	Ecuador	II	Human
hOROV/Ecuador/PHE-206/2016|M|EPI_ISL_19492339|2016-04	2016-04-01	Ecuador	II	Human
hOROV/Ecuador/PHE-210/2016|M|EPI_ISL_19492340|2016-04	2016-04-01	Ecuador	II	Human
hOROV/Panama/IEC-444672/1989|M|EPI_ISL_19492413|1989	1989	Panama	II	Human
hOROV/Panama/IEC-444839/1989|M|EPI_ISL_19492414|1989-08	1989-08	Panama	II	Human
hOROV/Peru/un-IEC-19244/1992|M|EPI_ISL_19492417|1992-04	1992-4	Peru	II	Human
hOROV/Peru/un-IEC-19260/1994|M|EPI_ISL_19492421|1994-02	1994-02	Peru	II	Human
hOROV/Peru/un-IEC-19257/1995|M|EPI_ISL_19492418|1995-06	1995-06-01	Peru	II	Human
hOROV/Peru/un-IEC-19258/1997|M|EPI_ISL_19492423|1997-08	1997-08	Peru	II	Human
hOROV/Peru/un-IEC-19259/1998|M|EPI_ISL_19492420|1998-04	1998-04	Peru	II	Human
hOROV/Peru/un-IEC-19262/2000|M|EPI_ISL_19492422|2000-05	2000-05	Peru	II	Human
hOROV/Peru/un-IEC-19256/2008|M|EPI_ISL_19492416|2008-03	2008-03	Peru	II	Human
hOROV/Peru/LOR-CUB-4643/2020|M|EPI_ISL_19833194|2020-12-19	2020-12-19	Peru	II	Human
hOROV/Peru/LOR-NAMRU-FPY01655/2022|M|EPI_ISL_19492344|2022-02-21	2022-02-21	Peru	II	Human
LACENAC_230150000650_Brazil_AC_Xapuri_2023-12-14	2023-12-14	Acre	III	Human
hOROV/Brazil/AP-UG-759529/2009|M|EPI_ISL_19492364|2009-06-17	2009-06-17	Amapa	III	Human
hOROV/Brazil/AP-UG-759620/2009|M|EPI_ISL_19492366|2009-06-23	2009-06-23	Amapa	III	Human
hOROV/Brazil/AP-UG-759040/2009|M|EPI_ISL_19492361|2009-07-23	2009-07-23	Amapa	III	Human
hOROV/Brazil/AP-UG-759021/2009|M|EPI_ISL_19492367|2009-07-23	2009-07-23	Amapa	III	Human
hOROV/Brazil/AP-UG-759022/2009|M|EPI_ISL_19492359|2009-07-24	2009-07-24	Amapa	III	Human
hOROV/Brazil/AP-UG-759025/2009|M|EPI_ISL_19492362|2009-07-24	2009-07-24	Amapa	III	Human
hOROV/Brazil/AP-UG-759024/2009|M|EPI_ISL_19492365|2009-07-24	2009-07-24	Amapa	III	Human
hOROV/Brazil/AP-UG-759146/2009|M|EPI_ISL_19492360|2009-08-20	2009-08-20	Amapa	III	Human
ILMD_TF29_Brazil_AM_Tefe_2015-04-13	2015-04-13	Amazonas	III	Human
LACENAM_234901000737JSC_Brazil_AM_PresidenteFigueiredo_2023-12-28	2023-12-28	Amazonas	III	Human
LACENAM_ILMD_243001000026_Brazil_AM_IRANDUBA_2024-01-05	2024-01-05	Amazonas	III	Human
HAM_ILMD_24100008MCS_Brazil_AM_Manaus_2024-01-09	2024-01-09	Amazonas	III	Human
LACENAM_244301000192ELL_AM_MAUES_2024-01-24	2024-01-24	Amazonas	III	Human
LACENAM_242201001233WMC_AM_COARI_2024-01-31	2024-01-31	Amazonas	III	Human
hOROV/Brazil/un-CSU-504514/1991|M|EPI_ISL_19749512|1991	1991	Brazil	III	Human
hOROV/Brazil/un-ECI-AMA2291/2009|M|EPI_ISL_19492477|2009-07-22	2009-07	Brazil	III	Human
hOROV/Brazil/un-ECI-Bel90435/2018|M|EPI_ISL_19492055|2018-03-30	2018-03-30	Brazil	III	Human
SC_LRV/24H3404_Guabiruba_2024-04-08	2024-04-08	Brazil	III	Human
CO_LET-2102_Leticia_2024-02-13	2024-02-13	Colombia	III	Human
ES_321586790_VilaValerio_2024-06-04	2024-06-04	Espirito Santo	III	Human
ES_321590364_Aracruz_2024-06-12	2024-06-12	Espirito Santo	III	Human
hOROV/French_Guiana/IPG-17225/2020|M|EPI_ISL_19497306|2020-09-17	2020-09	French Guiana	III	Human
hOROV/Haiti/UF-01/2014|M|EPI_ISL_19492031|2014-05-26	2014-05-26	Haiti	III	Human
hOROV/Panama/IEC-480914/1989|M|EPI_ISL_19492415|1989	1989	Panama	III	Human
hOROV/Panama/IEC-481126/1999|M|EPI_ISL_19492419|1999-10	1999-10-01	Panama	III	Human
hOROV/Brazil/PE-IAM4637/Recife_2024-05-23	2024-05-23	Pernambuco	III	Human
PE_FPM01287_MadreDios_PuertoMaldonado_2024-01-15	2024-01-15	Peru	III	Human
RJ_LARBOH6409_2024_Pirai_2024-04-18	2024-04-18	Rio de Janeiro	III	Human
LACENAM_ILMD_2068TNM_Brazil_AM_Humaita_2022-12-24	2022-12-24	Rondonia	III	Human
LACENRO_ILMD_02_Brazil_RO_SaoFranciscodoGuapore_2023-04-05	2023-04-05	Rondonia	III	Human
LACENRR_ILMD_0628MJG_Brazil_RR_AltoAlegre_2022-08-30	2022-08-30	Roraima	III	Human
LACENRR_ILMD_0156HM_Brazil_RR_Mucajai_2023-08-07	2023-08-07	Roraima	III	Human
hIQTV/Peru/IQT9924/1999|M|KF697143.1|1999	1999	Peru	IQTV	Human
hIQTV/Peru_Lima/TVP-19261/2009|M|KJ866387.1|2009-01-27	2009-01-27	Peru	IQTV	Human
hIQTV/USA_GA/Ecuador_traveler_2024/2024|M|PQ863773.1|2024	2024	USA	IQTV	Human
MDDV/Cebus_sp./Venezuela_Anzoategui/TVP-19255/2010|M|KJ866390.1|2010	2010	Venezuela	MDDV	Cebus
hMDDV/Peru/FMD1303/2007|M|KF697145.1|2007-03-22	2007-03-22	Peru	MDDV	Human
PDDV/Callithrix_penicillata/Brazil_Mina-Gerais_Perdoes/BeAn789726/2012|M|KP691625.1|2012	2012	Minas Gerais	PEDV	Callithrix
PDDV/Callithrix_penicillata/Brazil_Mina-Gerais_Perdoes/BeAn790177/2012|M|KP691628.1|2012	2012	Minas Gerais	PEDV	Callithrix
JATV/Nasua_nasua/BeAn423380/1984|M|NC_043577.1|1984	1984	PA	Unknown	Nasua nasua
