strain	date	location	clade	host
hOROV/Peru/un-IEC-19258/1997|S|EPI_ISL_19492423|1997-08	1997-08	Peru	II	Human
OROV/monkey/Brazil/MG-USP-626990/2000|S|EPI_ISL_19492374|2000	2000	Minas Gerais	III	Callithrix
hOROV/Brazil/MA-USP-472433/1988|S|EPI_ISL_19492385|1988	1988-02-02	Maranhao	III	Human
hOROV/Brazil/RO-USP-498913/1990|S|EPI_ISL_19492388|1990	1990-05-18	Rondonia	III	Human
hOROV/Brazil/AC-USP-543100/1996|S|EPI_ISL_19492394|1996	1996-04-16	Acre	III	Human
hOROV/Panama/IEC-444672/1989|S|EPI_ISL_19492413|1989	1989	Panama	III	Human
hIQTV/Peru_Lima/TVP-19261/2009|S|KJ866386.1|2009-01-27	2009-01-27	Peru	IQTV	Human
hIQTV/Peru/IQT9924/1999|S|KF697144.1|1999	1999	Peru	IQTV	Human
hIQTV/USA_GA/Ecuador_traveler_2024/2024|S|PQ863774.1|2024	2024	USA	IQTV	Human
hOROV/Brazil/AM-USP-389865/1980|S|EPI_ISL_19492382|1980	1980-12-01	Amazonas	IV	Human
hOROV/Brazil/AM-USP-390242/1980|S|EPI_ISL_19492383|1980	1980-12-18	Amazonas	IV	Human
MDDV/Cebus_sp./Venezuela_Anzoategui/TVP-19255/2010|S|KJ866389.1|2010	2010	Venezuela	MDDV	Cebus
hMDDV/Peru/FMD1303/2007|S|KF697146.1|2007-03-22	2007-03-22	Peru	MDDV	Human
PDDV/Callithrix_penicillata/Brazil_Mina-Gerais_Perdoes/BeAn789726/2012|S|KP691626.1|2012	2012	Minas Gerais	PEDV	Callithrix
PDDV/Callithrix_penicillata/Brazil_Mina-Gerais_Perdoes/BeAn790177/2012|S|KP691629.1|2012	2012	Minas Gerais	PEDV	Callithrix
ILMD_TF29_Brazil_AM_Tefe_2015-04-13	2015-04-13	Amazonas	V	Human
LACENRR_ILMD_0628MJG_Brazil_RR_AltoAlegre_2022-08-30	2022-08-30	Roraima	V	Human
LACENRR_ILMD_0156HM_Brazil_RR_Mucajai_2023-08-07	2023-08-07	Roraima	V	Human
LACENAM_ILMD_2068TNM_Brazil_AM_Humaita_2022-12-24	2022-12-24	Rondonia	V	Human
LACENRO_ILMD_02_Brazil_RO_SaoFranciscodoGuapore_2023-04-05	2023-04-05	Rondonia	V	Human
ES_321586790_VilaValerio_2024-06-04	2024-06-04	Espirito Santo	V	Human
LACENAC_230150000650_Brazil_AC_Xapuri_2023-12-14	2023-12-14	Acre	V	Human
SC_LRV/24H3404_Guabiruba_2024-04-08	2024-04-08	Santa Catarina	V	Human
RJ_LARBOH6409_2024_Pirai_2024-04-18	2024-04-18	Rio de Janeiro	V	Human
LACENAM_ILMD_243001000026_Brazil_AM_IRANDUBA_2024-01-05	2024-01-05	Amazonas	V	Human
LACENAM_242201001233WMC_AM_COARI_2024-01-31	2024-01-31	Amazonas	V	Human
ES_321590364_Aracruz_2024-06-12	2024-06-12	Espirito Santo	V	Human
LACENAM_234901000737JSC_Brazil_AM_PresidenteFigueiredo_2023-12-28	2023-12-28	Amazonas	V	Human
HAM_ILMD_24100008MCS_Brazil_AM_Manaus_2024-01-09	2024-01-09	Amazonas	V	Human
LACENAM_244301000192ELL_AM_MAUES_2024-01-24	2024-01-24	Amazonas	V	Human
hOROV/Brazil/PE-IAM4637/Recife_2024-05-23	2024-05-23	Pernambuco	V	Human
hOROV/Colombia/NSA-IDR-0200178W/2020|S|EPI_ISL_19497309|2020	2020	Colombia	V	Human
hOROV/Colombia/AMA-IDR-882/2021|S|EPI_ISL_19497310|2021	2021	Colombia	V	Human
hOROV/Colombia/AMA-IDR-352/2021|S|EPI_ISL_19497311|2021	2021	Colombia	V	Human
hOROV/Colombia/un-NAMRU6-FCT00025/2017|S|EPI_ISL_19497336|2017	2017	Colombia	V	Human
CO_LET-2102_Leticia_2024-02-13	2024-02-13	Colombia	V	Human
hOROV/Ecuador/PHE-057/2016|S|EPI_ISL_19492335|2016-04	2016-04-01	Ecuador	V	Human
